Field=Designator~String~Designator~123|Field=Part_Number~String~Part_Number~123|Field=Description~String~Description~199|Field=Quantity~Integer~Quantity~153|Field=Supplier Link~String~Supplier Link~152|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Module_wifi.PrjPcb|ReportField=ProjectFullPath~D:\Vbox_Partage\eRacing\Electrical\DAQ\Module_WIFI\PCB\Module_wifi.PrjPcb|ReportField=Title~Bill of Materials For Project [Module_wifi.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~50|ReportField=ReportTime~13:35:50|ReportField=ReportDate~2015-08-20|ReportField=ReportDateTime~2015-08-20 13:35:50|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~2015-08-20|ReportField=CurrentTime~13:16:55|ReportField=Date~|ReportField=DocumentFullPathAndName~D:\Vbox_Partage\eRacing\Electrical\DAQ\Module_WIFI\PCB\module_wifi.SchDoc|ReportField=DocumentName~module_wifi.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~2015-08-20|ReportField=Organization~|ReportField=ProjectName~Module_wifi.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~Module_wifi.PrjPcb|ReportField=DataSourceFullPath~D:\Vbox_Partage\eRacing\Electrical\DAQ\Module_WIFI\PCB\Module_wifi.PrjPcb
A1|R-78E5.0-0.5|5V DCDC|1|http://www.digikey.com/product-detail/en/R-78E5.0-0.5/945-1648-5-ND/2834904
A2|HLK-RM04|Wifi Module|1|http://www.hlktech.net/product_detail.php?ProId=39
C1, C2, C11, C15|CGA3E1X7R1E105M080AC|1uF ceramic capacitor|4|http://www.digikey.com/product-detail/en/CGA3E1X7R1E105M080AC/445-12548-1-ND/3954214
C3, C6, C7, C8, C9, C12, C13, C18|CGA3E2X7R1H104K080AA|0.1uF ceramic capacitor|8|http://www.digikey.com/product-detail/en/CGA3E2X7R1H104K080AA/445-5666-1-ND/2443706, http://www.digikey.com/product-detail/en/CGA3E2X7R1H104K080AA/445-5666-1-ND/2443706, http://www.digikey.com/product-detail/en/CGA3E2X7R1H104K080AA/445-5666-1-ND/2443706, http://www.digikey.com/product-detail/en/CGA3E2X7R1H104K080AA/445-5666-1-ND/2443706, http://www.digikey.com/product-detail/en/CGA3E2X7R1H104K080AA/445-5666-1-ND/2443706, http://www.digikey.com/product-detail/en/CGA3E2X7R1H104K080AA/445-5666-1-ND/2443706, http://www.digikey.com/product-detail/en/CGA3E2X7R1H104K080AA/445-5666-1-ND/2443706, http://www.digikey.ca/product-detail/en/CGA3E2X7R1H104K080AA/445-5666-1-ND/2443706
C4, C5|CGA3E2C0G1H100D080AA|10pF ceramic capacitor|2|http://www.digikey.com/product-detail/en/CGA3E2C0G1H100D080AA/445-5628-1-ND/2443668
C10|CGA3E2X7R1H103K080AA|0.01uF ceramic capacitor|1|http://www.digikey.com/product-detail/en/CGA3E2X7R1H103K080AA/445-5662-1-ND/2443702
C14, C17, C19, C20|CGA3E1X7R0J225K080AC|2.2uF ceramic capacitor|4|http://www.digikey.ca/product-detail/en/CGA3E1X7R0J225K080AC/445-6933-1-ND/2672951
C16|CGA3E2X7R1H473K080AA|47nF ceramic capacitor|1|http://www.digikey.ca/product-detail/en/CGA3E2X7R1H473K080AA/445-5664-1-ND/2443704
D1|LTST-C150KGKT|Green LED 1206|1|http://www.digikey.com/product-detail/en/LTST-C150KGKT/160-1404-1-ND/386759
D2|LTST-C150KGKT|Green LED 1206|1|http://www.digikey.com/product-detail/en/LTST-C150KGKT/160-1404-1-ND/386759
