Field=Comment~String~Comment~92|Field=Description~String~Description~92|Field=Designator~String~Designator~92|Field=Manufacturer~String~Manufacturer~92|Field=Part_Number~String~Part_Number~92|Field=Price~String~Price~92|Field=Price_10~Float~Price_10~92|Field=Quantity~Integer~Quantity~92|Field=Supplier_Link~String~Supplier_Link~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Module_wifi.PrjPcb|ReportField=ProjectFullPath~D:\Vbox_Partage\eRacing\Electrical\DAQ\Module_WIFI\PCB\Rev_B\Module_wifi.PrjPcb|ReportField=Title~Bill of Materials For Project [Module_wifi.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~50|ReportField=ReportTime~20:43:57|ReportField=ReportDate~2015-11-17|ReportField=ReportDateTime~2015-11-17 20:43:57|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~2015-11-17|ReportField=CurrentTime~20:42:30|ReportField=Date~|ReportField=DocumentFullPathAndName~D:\Vbox_Partage\eRacing\Electrical\DAQ\Module_WIFI\PCB\Rev_B\module_wifi.SchDoc|ReportField=DocumentName~module_wifi.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~2015-11-11|ReportField=Organization~|ReportField=ProjectName~Module_wifi.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~Module_wifi.PrjPcb|ReportField=DataSourceFullPath~D:\Vbox_Partage\eRacing\Electrical\DAQ\Module_WIFI\PCB\Rev_B\Module_wifi.PrjPcb
5V DCDC|5V DCDC|A1|Recom|R-78E5.0-0.5|||1|http://www.digikey.ca/product-detail/en/R-78E5.0-0.5/945-1648-5-ND/2834904
HLK-RM04|Wifi Module|A2|Hi-Link|HLK-RM04|9.50||1|http://www.hlktech.net/product_detail.php?ProId=39
CAP CER 0603 1uF 25V X7R 20%|1uF ceramic capacitor|C1, C2, C11, C15|TDK Corporation||||4|http://www.digikey.ca/product-detail/en/CGA3E1X7R1E105M080AC/445-12548-1-ND/3954214
CAP CER 0603 0.1uF 50V C0G 10%|0.1uF ceramic capacitor|C3, C6, C7, C8, C9, C12, C13, C18|TDK Corporation||||8|http://www.digikey.ca/product-detail/en/CGA3E2X7R1H104K080AA/445-5666-1-ND/2443706
CAP CER 0603 10pF 50V C0G 5%|10pF ceramic capacitor|C4, C5|TDK Corporation||||2|http://www.digikey.ca/product-detail/en/CGA3E2C0G1H100D080AA/445-5628-1-ND/2443668
CAP CER 0603 0.01uF 50V X7R 10%|0.01uF ceramic capacitor|C10|TDK Corporation||||1|http://www.digikey.ca/product-detail/en/CGA3E2X7R1H103K080AA/445-5662-1-ND/2443702
CAP CER 0603 2.2uF 6.3V X7R 10%|2.2uF ceramic capacitor|C14, C17, C19, C20|TDK Corporation||0.32||4|http://www.digikey.ca/product-detail/en/CGA3E1X7R0J225K080AC/445-6933-1-ND/2672951
CAP CER 0603 47nF 50V X7R 10%|47nF ceramic capacitor|C16|TDK Corporation||0.14||1|http://www.digikey.ca/product-detail/en/CGA3E2X7R1H473K080AA/445-5664-1-ND/2443704
Green|Green LED 1206|D1, D2|Liteon|LTST-C150KGKT|0.55||2|http://www.digikey.ca/product-detail/en/LTST-C150KGKT/160-1404-1-ND/386759
Fuse Holder|Nano 452 fuse holder, surface mount|F1|Littlefuse|0154010.DR|3.64||1|http://www.digikey.ca/product-search/en?pv66=1&FV=ffec3b86%2Cffec3bb8%2Cffec4f0c%2Cffec8a72%2Cfff4000a%2Cfff8003d%2Cfffc0012%2C1c0002%2C1c0003%2C1c0006&mnonly=0&newproducts=0&ColumnSort=0&page=1&stock=1&quantity=0&ptm=0&fid=0&pageSize=500
